timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/02 16:30:56.585, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:31:01.592, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 16:31:06.593, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 16:31:11.594, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 16:31:16.594, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 16:31:21.595, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 16:31:26.595, NVIDIA A800-SXM4-80GB, 424 MiB, 81920 MiB, 1 %
2026/06/02 16:31:31.596, NVIDIA A800-SXM4-80GB, 5834 MiB, 81920 MiB, 12 %
2026/06/02 16:31:36.596, NVIDIA A800-SXM4-80GB, 13554 MiB, 81920 MiB, 16 %
2026/06/02 16:31:41.597, NVIDIA A800-SXM4-80GB, 24242 MiB, 81920 MiB, 30 %
2026/06/02 16:31:46.598, NVIDIA A800-SXM4-80GB, 33430 MiB, 81920 MiB, 14 %
2026/06/02 16:31:51.598, NVIDIA A800-SXM4-80GB, 31574 MiB, 81920 MiB, 0 %
2026/06/02 16:31:56.599, NVIDIA A800-SXM4-80GB, 31574 MiB, 81920 MiB, 0 %
2026/06/02 16:32:01.599, NVIDIA A800-SXM4-80GB, 31574 MiB, 81920 MiB, 0 %
2026/06/02 16:32:06.600, NVIDIA A800-SXM4-80GB, 31574 MiB, 81920 MiB, 0 %
2026/06/02 16:32:11.601, NVIDIA A800-SXM4-80GB, 55344 MiB, 81920 MiB, 91 %
2026/06/02 16:32:16.601, NVIDIA A800-SXM4-80GB, 56350 MiB, 81920 MiB, 100 %
2026/06/02 16:32:21.602, NVIDIA A800-SXM4-80GB, 56416 MiB, 81920 MiB, 0 %
2026/06/02 16:32:26.603, NVIDIA A800-SXM4-80GB, 56416 MiB, 81920 MiB, 0 %
2026/06/02 16:32:31.603, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:32:36.604, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:32:41.604, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:32:47.437, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:32:52.437, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:32:57.438, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:33:02.439, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:33:07.440, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 47 %
2026/06/02 16:33:12.440, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:33:17.441, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:33:22.442, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:33:27.443, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:33:32.443, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:33:37.444, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:33:42.444, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:33:47.445, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:33:52.445, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:33:57.445, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
