timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/02 18:14:43.893, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 18:14:48.902, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 18:14:53.902, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 18:14:58.903, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 18:15:03.903, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 18:15:08.904, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 18:15:13.904, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 18:15:18.905, NVIDIA A800-SXM4-80GB, 4 MiB, 81920 MiB, 0 %
2026/06/02 18:15:23.907, NVIDIA A800-SXM4-80GB, 1202 MiB, 81920 MiB, 10 %
2026/06/02 18:15:28.908, NVIDIA A800-SXM4-80GB, 8536 MiB, 81920 MiB, 16 %
2026/06/02 18:15:33.908, NVIDIA A800-SXM4-80GB, 13940 MiB, 81920 MiB, 10 %
2026/06/02 18:15:38.909, NVIDIA A800-SXM4-80GB, 17680 MiB, 81920 MiB, 0 %
2026/06/02 18:15:43.910, NVIDIA A800-SXM4-80GB, 33406 MiB, 81920 MiB, 0 %
2026/06/02 18:15:48.911, NVIDIA A800-SXM4-80GB, 33440 MiB, 81920 MiB, 17 %
2026/06/02 18:15:53.911, NVIDIA A800-SXM4-80GB, 31574 MiB, 81920 MiB, 0 %
2026/06/02 18:15:58.912, NVIDIA A800-SXM4-80GB, 31574 MiB, 81920 MiB, 0 %
2026/06/02 18:16:03.912, NVIDIA A800-SXM4-80GB, 31574 MiB, 81920 MiB, 0 %
2026/06/02 18:16:08.913, NVIDIA A800-SXM4-80GB, 31574 MiB, 81920 MiB, 0 %
2026/06/02 18:16:13.913, NVIDIA A800-SXM4-80GB, 55344 MiB, 81920 MiB, 86 %
2026/06/02 18:16:18.914, NVIDIA A800-SXM4-80GB, 41524 MiB, 81920 MiB, 44 %
2026/06/02 18:16:23.915, NVIDIA A800-SXM4-80GB, 56416 MiB, 81920 MiB, 0 %
2026/06/02 18:16:28.915, NVIDIA A800-SXM4-80GB, 56416 MiB, 81920 MiB, 0 %
2026/06/02 18:16:33.916, NVIDIA A800-SXM4-80GB, 56420 MiB, 81920 MiB, 44 %
2026/06/02 18:16:38.916, NVIDIA A800-SXM4-80GB, 56420 MiB, 81920 MiB, 47 %
2026/06/02 18:16:43.917, NVIDIA A800-SXM4-80GB, 56420 MiB, 81920 MiB, 47 %
2026/06/02 18:16:48.922, NVIDIA A800-SXM4-80GB, 56420 MiB, 81920 MiB, 63 %
2026/06/02 18:16:53.923, NVIDIA A800-SXM4-80GB, 56420 MiB, 81920 MiB, 49 %
2026/06/02 18:16:58.923, NVIDIA A800-SXM4-80GB, 56420 MiB, 81920 MiB, 49 %
2026/06/02 18:17:03.924, NVIDIA A800-SXM4-80GB, 56420 MiB, 81920 MiB, 84 %
2026/06/02 18:17:08.924, NVIDIA A800-SXM4-80GB, 56420 MiB, 81920 MiB, 48 %
2026/06/02 18:17:13.925, NVIDIA A800-SXM4-80GB, 56420 MiB, 81920 MiB, 44 %
2026/06/02 18:17:18.926, NVIDIA A800-SXM4-80GB, 56420 MiB, 81920 MiB, 56 %
2026/06/02 18:17:23.927, NVIDIA A800-SXM4-80GB, 48886 MiB, 81920 MiB, 69 %
2026/06/02 18:17:28.927, NVIDIA A800-SXM4-80GB, 17578 MiB, 81920 MiB, 100 %
2026/06/02 18:17:33.928, NVIDIA A800-SXM4-80GB, 17598 MiB, 81920 MiB, 1 %
2026/06/02 18:17:38.928, NVIDIA A800-SXM4-80GB, 17618 MiB, 81920 MiB, 1 %
2026/06/02 18:17:43.929, NVIDIA A800-SXM4-80GB, 17638 MiB, 81920 MiB, 1 %
2026/06/02 18:17:48.930, NVIDIA A800-SXM4-80GB, 19900 MiB, 81920 MiB, 53 %
2026/06/02 18:17:53.930, NVIDIA A800-SXM4-80GB, 47402 MiB, 81920 MiB, 99 %
2026/06/02 18:17:58.931, NVIDIA A800-SXM4-80GB, 31852 MiB, 81920 MiB, 17 %
2026/06/02 18:18:03.931, NVIDIA A800-SXM4-80GB, 31886 MiB, 81920 MiB, 17 %
2026/06/02 18:18:08.932, NVIDIA A800-SXM4-80GB, 31918 MiB, 81920 MiB, 10 %
2026/06/02 18:18:13.932, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 45 %
2026/06/02 18:18:18.933, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 45 %
2026/06/02 18:18:23.933, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 45 %
2026/06/02 18:18:28.936, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 46 %
2026/06/02 18:18:33.936, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 46 %
2026/06/02 18:18:38.937, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 47 %
2026/06/02 18:18:43.937, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 47 %
2026/06/02 18:18:48.938, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 48 %
2026/06/02 18:18:53.939, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 49 %
2026/06/02 18:18:58.940, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 48 %
2026/06/02 18:19:03.940, NVIDIA A800-SXM4-80GB, 40176 MiB, 81920 MiB, 50 %
2026/06/02 18:19:08.943, NVIDIA A800-SXM4-80GB, 40690 MiB, 81920 MiB, 71 %
2026/06/02 18:19:13.943, NVIDIA A800-SXM4-80GB, 40690 MiB, 81920 MiB, 49 %
2026/06/02 18:19:18.946, NVIDIA A800-SXM4-80GB, 40690 MiB, 81920 MiB, 51 %
2026/06/02 18:19:23.946, NVIDIA A800-SXM4-80GB, 40886 MiB, 81920 MiB, 47 %
2026/06/02 18:19:28.947, NVIDIA A800-SXM4-80GB, 40886 MiB, 81920 MiB, 48 %
2026/06/02 18:19:33.948, NVIDIA A800-SXM4-80GB, 40886 MiB, 81920 MiB, 48 %
2026/06/02 18:19:38.949, NVIDIA A800-SXM4-80GB, 40886 MiB, 81920 MiB, 48 %
2026/06/02 18:19:43.949, NVIDIA A800-SXM4-80GB, 18438 MiB, 81920 MiB, 100 %
2026/06/02 18:19:48.950, NVIDIA A800-SXM4-80GB, 39420 MiB, 81920 MiB, 98 %
2026/06/02 18:19:53.950, NVIDIA A800-SXM4-80GB, 24100 MiB, 81920 MiB, 100 %
2026/06/02 18:19:58.951, NVIDIA A800-SXM4-80GB, 80706 MiB, 81920 MiB, 97 %
2026/06/02 18:20:03.954, NVIDIA A800-SXM4-80GB, 7722 MiB, 81920 MiB, 100 %
2026/06/02 18:20:08.955, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 46 %
2026/06/02 18:20:13.955, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 46 %
2026/06/02 18:20:18.956, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 45 %
2026/06/02 18:20:23.972, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 45 %
2026/06/02 18:20:28.974, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 41 %
2026/06/02 18:20:33.974, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 41 %
2026/06/02 18:20:38.975, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 0 %
2026/06/02 18:20:43.977, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 44 %
2026/06/02 18:20:48.978, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 0 %
2026/06/02 18:20:53.978, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 25 %
2026/06/02 18:20:58.980, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 0 %
2026/06/02 18:21:03.981, NVIDIA A800-SXM4-80GB, 40180 MiB, 81920 MiB, 0 %
2026/06/02 18:21:08.983, NVIDIA A800-SXM4-80GB, 40276 MiB, 81920 MiB, 45 %
2026/06/02 18:21:13.984, NVIDIA A800-SXM4-80GB, 40276 MiB, 81920 MiB, 46 %
2026/06/02 18:21:18.987, NVIDIA A800-SXM4-80GB, 40276 MiB, 81920 MiB, 44 %
2026/06/02 18:21:23.988, NVIDIA A800-SXM4-80GB, 40276 MiB, 81920 MiB, 57 %
2026/06/02 18:21:28.989, NVIDIA A800-SXM4-80GB, 40276 MiB, 81920 MiB, 41 %
